,Unnamed: 0,id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,lat,long
13692,20223,1519,116.0,3,2.0,6,599000,5164,0,0,1,1,1,40.3946769,-3.6818421999999997
13693,20224,1518,90.0,3,2.0,2,399000,4433,0,0,1,1,1,40.40467039999999,-3.7012867999999997
13694,20225,1517,114.0,3,2.0,1,345000,3026,0,0,1,1,0,40.401739500000005,-3.7029907
13695,20226,1516,62.0,4,1.0,0,175000,2823,0,0,0,0,0,40.4061083,-3.7165926
13696,20227,1515,73.0,3,1.0,5,260000,3562,1,0,1,0,0,40.396266,-3.6991343999999997
13697,20228,1514,101.0,2,1.0,7,378000,3743,0,0,1,1,0,40.395163399999994,-3.6946201000000003
13698,20229,1513,155.0,4,2.0,7,870000,5613,0,0,1,1,1,40.3878158,-3.6907441
13699,20230,1512,25.0,0,1.0,3,99900,3996,0,0,1,0,0,40.4018264,-3.6923388999999998
13700,20232,1510,33.0,2,1.0,6,358000,10848,0,0,1,1,0,40.403528,-3.7079538
13701,20233,1509,118.0,3,2.0,4,517000,4381,0,0,1,1,0,40.406167700000005,-3.6925306000000004
13702,20234,1508,23.0,0,1.0,2,147000,6391,0,0,1,0,0,40.401435600000006,-3.694517
13703,20236,1506,80.0,2,1.0,0,290000,3625,0,0,1,1,0,40.404853100000004,-3.6987224000000003
13704,20238,1504,111.0,4,2.0,2,439000,3955,0,0,1,1,0,40.4013806,-3.7103059999999997
13705,20239,1503,60.0,3,1.0,8,399000,6650,0,0,1,1,0,40.402406299999996,-3.6937934
13706,20241,1501,80.0,3,2.0,6,280000,3500,1,0,1,1,0,40.396930600000005,-3.7010983
13707,20242,1500,45.0,2,1.0,0,135000,3000,1,0,0,0,0,40.3964323,-3.6977034
13708,20243,1499,85.0,2,2.0,2,299000,3518,1,0,1,0,0,40.3952269,-3.696527399999999
13709,20244,1498,83.0,2,2.0,1,340000,4096,0,0,1,1,1,40.387085299999995,-3.6933842000000006
13710,20245,1497,83.0,2,2.0,1,340000,4096,0,0,1,1,1,40.387085299999995,-3.6933842000000006
13711,20246,1496,85.0,2,2.0,2,299000,3518,0,0,1,0,0,40.3952269,-3.696527399999999
13712,20247,1495,45.0,2,1.0,0,135000,3000,1,0,0,0,0,40.3964323,-3.6977034
13713,20248,1494,83.0,2,2.0,1,340000,4096,0,0,1,1,1,40.387085299999995,-3.6933842000000006
13714,20249,1493,144.0,4,2.0,9,1199000,8326,0,0,1,1,1,40.39182,-3.68051
13715,20252,1490,113.0,4,2.0,2,440000,3894,0,0,1,1,1,40.399693299999996,-3.6999072
13716,20253,1489,65.0,2,1.0,2,210000,3231,0,0,0,1,0,40.3978705,-3.7022602999999994
13717,20254,1488,65.0,2,1.0,2,210000,3231,0,0,0,1,0,40.3978705,-3.7022602999999994
13718,20256,1486,123.0,3,2.0,4,520000,4228,0,0,1,1,1,40.4013171,-3.7187451
13719,20258,1484,78.0,2,2.0,1,350000,4487,0,0,1,0,0,40.392306,-3.6915886999999987
13720,20259,1483,49.0,2,1.0,1,154000,3143,1,0,1,0,0,40.395163399999994,-3.6946201000000003
13721,20262,1480,135.0,3,2.0,4,449000,3326,0,0,1,1,0,40.399496,-3.7056248
13722,20263,1479,98.0,2,2.0,0,448000,4571,0,0,1,0,0,40.39228,-3.67929
13723,20264,1478,127.0,3,2.0,2,480000,3780,0,0,1,1,1,40.3913351,-3.6848663
13724,20265,1477,94.0,3,2.0,0,410000,4362,1,0,1,1,0,40.40365329999999,-3.6996665
13725,20266,1476,74.0,2,2.0,5,395000,5338,0,0,1,1,0,40.408806,-3.7167904000000003
13726,20267,1475,104.0,3,2.0,3,536000,5154,0,0,1,1,1,40.404937,-3.7189455999999996
13727,20268,1474,72.0,2,1.0,1,260000,3611,1,0,1,1,0,40.396121,-3.6981685
13728,20269,1473,55.0,2,1.0,2,210000,3818,1,0,1,0,0,40.40535200000001,-3.6972561
13729,20270,1472,118.0,3,2.0,7,499000,4229,0,0,1,1,1,40.399054,-3.7082578
13730,20271,1471,141.0,5,2.0,6,398000,2823,1,0,1,1,0,40.4120332,-3.7205244
13731,20272,1470,77.0,2,2.0,1,340000,4416,0,0,1,1,0,40.4034188,-3.7136082000000004
13732,20273,1469,75.0,2,2.0,8,311000,4147,0,0,1,1,0,40.3974693,-3.701520399999999
13733,20274,1468,80.0,2,2.0,5,507000,6338,0,1,1,1,1,40.4006289,-3.7192747
13734,20275,1467,93.0,2,2.0,4,557000,5989,0,1,1,1,1,40.4006289,-3.7192747
13735,20276,1466,132.0,3,2.0,3,757000,5735,0,1,1,1,1,40.4006289,-3.7192747
13736,20277,1465,55.0,1,1.0,4,328000,5964,0,1,1,1,1,40.4006289,-3.7192747
13737,20278,1464,60.0,1,1.0,1,338000,5633,0,1,1,1,1,40.4006289,-3.7192747
13738,20279,1463,117.0,3,2.0,6,550000,4701,0,0,1,1,1,40.3945377,-3.683676199999999
13739,20280,1462,51.0,2,1.0,3,249000,4882,0,0,0,1,0,40.4113194,-3.7187955
13740,20281,1461,147.0,4,2.0,5,1129500,7684,0,0,1,1,0,40.403528,-3.7079538
13741,20282,1460,72.0,1,1.0,1,260000,3611,1,0,1,1,0,40.396121,-3.6981685
13742,20283,1459,80.0,3,1.0,2,328700,4109,0,0,1,1,0,40.398841499999996,-3.696400199999999
13743,20284,1458,114.0,3,2.0,1,530000,4649,0,0,1,1,1,40.398540000000004,-3.7088972
13744,20285,1457,114.0,3,2.0,1,550000,4825,0,0,1,1,1,40.398540000000004,-3.7088972
13745,20286,1456,70.0,3,1.0,1,258000,3686,1,0,1,1,0,40.3972987,-3.6990775
13746,20287,1455,118.0,3,2.0,7,499000,4229,0,0,1,1,1,40.398540000000004,-3.7088972
13747,20288,1454,51.0,1,1.0,5,154000,3020,0,0,0,1,0,40.40613889999999,-3.7089508
13748,20289,1453,114.0,3,2.0,1,459000,4026,0,0,1,1,1,40.3978705,-3.7022602999999994
13749,20291,1451,110.0,3,2.0,7,415000,3773,0,0,1,1,1,40.3971458,-3.6903593
13750,20292,1450,56.0,2,1.0,3,280000,5000,0,0,1,1,0,40.4018986,-3.6915603999999997
13751,20293,1449,94.0,2,2.0,5,479000,5096,0,0,1,1,1,40.392712599999996,-3.6787330999999996
13752,20294,1448,84.0,1,1.0,0,181000,2155,0,0,0,1,0,40.3973233,-3.6940411
13753,20295,1447,41.0,1,1.0,4,149900,3656,0,0,1,0,0,40.3991631,-3.6941665
13754,20296,1446,91.0,3,1.0,1,330000,3626,1,0,1,1,0,40.4120332,-3.7205244
13755,20299,1443,67.0,3,1.0,5,239400,3573,1,0,1,0,0,40.394808000000005,-3.6963899
13756,20300,1442,121.0,3,2.0,6,470000,3884,0,0,1,1,1,40.3856385,-3.6862166
13757,20301,1441,138.0,3,2.0,1,369500,2678,0,0,1,1,0,40.3973466,-3.6927418
