,id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,coordinates
10099,11643,440.0,4,5.0,,1050000,2386,False,False,,,True,"{'lat': 40.4534463, 'lng': -3.6326303}"
10100,11642,67.0,2,1.0,3,335000,5000,False,False,True,True,True,"{'lat': 40.4952804, 'lng': -3.654815}"
10101,11641,90.0,3,1.0,1,274000,3044,False,False,False,True,False,"{'lat': 40.4730776, 'lng': -3.640056599999999}"
10102,11640,366.0,5,5.0,,1800000,4918,False,False,,,True,"{'lat': 40.45043310000001, 'lng': -3.6432882}"
10103,11639,113.0,4,1.0,1,349000,3088,False,False,True,True,False,"{'lat': 40.4786863, 'lng': -3.6440096}"
10104,11638,200.0,4,3.0,4,776000,3880,False,False,True,True,True,"{'lat': 40.4506535, 'lng': -3.6206149}"
10105,11637,607.0,5,6.0,Bajo,2800000,4613,False,False,True,True,True,"{'lat': 40.4567024, 'lng': -3.6402797}"
10106,11636,235.0,4,3.0,5,775000,3298,False,False,,True,False,"{'lat': 40.4509353, 'lng': -3.6149217}"
10107,11635,252.0,3,2.0,5,1150000,4563,False,False,True,True,True,"{'lat': 40.454133, 'lng': -3.6205491}"
10108,11634,280.0,4,3.0,3,1200000,4286,False,False,True,True,True,"{'lat': 40.454133, 'lng': -3.6205491}"
10109,11633,375.0,5,3.0,,1199000,3197,False,False,,,True,"{'lat': 40.45043310000001, 'lng': -3.6432882}"
10110,11632,115.0,2,2.0,5,405000,3522,False,False,True,True,False,"{'lat': 40.49395, 'lng': -3.65973}"
10111,11631,750.0,6,5.0,,3100000,4133,False,,,,False,"{'lat': 40.4567024, 'lng': -3.6402797}"
10112,11630,500.0,5,5.0,,2600000,5200,False,False,,,False,"{'lat': 40.4576543, 'lng': -3.6353556}"
10113,11629,116.0,2,2.0,3,540000,4655,False,False,True,True,True,"{'lat': 40.4528899, 'lng': -3.62426}"
10115,11627,144.0,4,2.0,6,485000,3368,False,False,True,True,True,"{'lat': 40.4865255, 'lng': -3.655215099999999}"
10116,11626,220.0,4,3.0,Bajo,850000,3864,False,False,True,True,True,"{'lat': 40.4526594, 'lng': -3.6198863}"
10118,11624,74.0,2,2.0,4,242999,3284,False,False,False,True,False,"{'lat': 40.4741433, 'lng': -3.6346785}"
10119,11623,102.0,3,2.0,7,385000,3775,False,False,True,True,False,"{'lat': 40.47235, 'lng': -3.64592}"
10120,11622,140.0,3,2.0,1,549000,3921,False,False,True,True,True,"{'lat': 40.4925165, 'lng': -3.6596715}"
10122,11620,388.0,4,3.0,,899000,2317,False,False,,,True,"{'lat': 40.4506607, 'lng': -3.6112832}"
10123,11619,144.0,4,2.0,3,699000,4854,False,False,True,True,True,"{'lat': 40.46701669999999, 'lng': -3.658032}"
10124,11618,160.0,3,2.0,7,910000,5688,False,False,True,True,True,"{'lat': 40.4886845, 'lng': -3.6561383}"
10127,11615,93.0,4,2.0,Bajo,245000,2634,False,False,True,True,False,"{'lat': 40.4778195, 'lng': -3.661428899999999}"
10128,11614,88.0,3,1.0,2,210000,2386,False,False,True,True,False,"{'lat': 40.475138, 'lng': -3.6546103}"
10129,11613,51.0,1,1.0,7,167000,3275,False,False,True,False,False,"{'lat': 40.4798335, 'lng': -3.6474016}"
10130,11612,360.0,4,5.0,,1050000,2917,False,True,,,True,"{'lat': 40.45140720000001, 'lng': -3.6134943}"
10132,11610,90.0,2,1.0,1,285000,3167,False,False,True,True,False,"{'lat': 40.4792525, 'lng': -3.6465185}"
10133,11609,600.0,6,3.0,,849000,1415,False,False,,,True,"{'lat': 40.4818601, 'lng': -3.6355788}"
